"start","end","downloads","package"
2016-04-01,2016-04-30,1430,"adehabitatMA"
2016-05-01,2016-05-31,1636,"adehabitatMA"
2016-06-01,2016-06-30,1643,"adehabitatMA"
2016-07-01,2016-07-31,1493,"adehabitatMA"
2016-08-01,2016-08-31,1543,"adehabitatMA"
2016-09-01,2016-09-30,3276,"adehabitatMA"
2016-10-01,2016-10-31,3105,"adehabitatMA"
2016-11-01,2016-11-30,2968,"adehabitatMA"
2016-12-01,2016-12-31,1774,"adehabitatMA"
2017-01-01,2017-01-31,2096,"adehabitatMA"
2017-02-01,2017-02-28,2217,"adehabitatMA"
2017-03-01,2017-03-31,2829,"adehabitatMA"
2017-04-01,2017-04-30,2401,"adehabitatMA"
2017-05-01,2017-05-31,2401,"adehabitatMA"
2017-06-01,2017-06-30,1847,"adehabitatMA"
2017-07-01,2017-07-31,1896,"adehabitatMA"
2017-08-01,2017-08-31,2040,"adehabitatMA"
2017-09-01,2017-09-30,2257,"adehabitatMA"
2017-10-01,2017-10-31,2872,"adehabitatMA"
2017-11-01,2017-11-30,5349,"adehabitatMA"
2017-12-01,2017-12-31,2705,"adehabitatMA"
2018-01-01,2018-01-31,2766,"adehabitatMA"
2018-02-01,2018-02-28,2421,"adehabitatMA"
2018-03-01,2018-03-31,2925,"adehabitatMA"
2018-04-01,2018-04-30,2825,"adehabitatMA"
2018-05-01,2018-05-31,2828,"adehabitatMA"
2018-06-01,2018-06-30,2593,"adehabitatMA"
2018-07-01,2018-07-31,2384,"adehabitatMA"
2018-08-01,2018-08-31,2403,"adehabitatMA"
2018-09-01,2018-09-30,3301,"adehabitatMA"
2018-10-01,2018-10-31,4172,"adehabitatMA"
2018-11-01,2018-11-30,4930,"adehabitatMA"
2018-12-01,2018-12-31,3220,"adehabitatMA"
2019-01-01,2019-01-31,4120,"adehabitatMA"
2019-02-01,2019-02-28,3882,"adehabitatMA"
2019-03-01,2019-03-31,4695,"adehabitatMA"
2019-04-01,2019-04-30,6891,"adehabitatMA"
2019-05-01,2019-05-31,6382,"adehabitatMA"
2019-06-01,2019-06-30,4301,"adehabitatMA"
2019-07-01,2019-07-31,4982,"adehabitatMA"
2019-08-01,2019-08-31,4422,"adehabitatMA"
2019-09-01,2019-09-30,4886,"adehabitatMA"
2019-10-01,2019-10-31,6005,"adehabitatMA"
2019-11-01,2019-11-30,5506,"adehabitatMA"
2019-12-01,2019-12-31,4122,"adehabitatMA"
2020-01-01,2020-01-31,7126,"adehabitatMA"
2020-02-01,2020-02-29,5883,"adehabitatMA"
2020-03-01,2020-03-31,5500,"adehabitatMA"
2020-04-01,2020-04-30,5515,"adehabitatMA"
2020-05-01,2020-05-07,980,"adehabitatMA"
2015-01-01,2015-01-31,987,"ads"
2015-02-01,2015-02-28,768,"ads"
2015-03-01,2015-03-31,830,"ads"
2015-04-01,2015-04-30,878,"ads"
2015-05-01,2015-05-31,712,"ads"
2015-06-01,2015-06-30,611,"ads"
2015-07-01,2015-07-31,485,"ads"
2015-08-01,2015-08-31,678,"ads"
2015-09-01,2015-09-30,587,"ads"
2015-10-01,2015-10-31,647,"ads"
2015-11-01,2015-11-30,708,"ads"
2015-12-01,2015-12-31,477,"ads"
2016-01-01,2016-01-31,542,"ads"
2016-02-01,2016-02-29,624,"ads"
2016-03-01,2016-03-31,464,"ads"
2016-04-01,2016-04-30,409,"ads"
2016-05-01,2016-05-31,412,"ads"
2016-06-01,2016-06-30,395,"ads"
2016-07-01,2016-07-31,450,"ads"
2016-08-01,2016-08-31,358,"ads"
2016-09-01,2016-09-30,450,"ads"
2016-10-01,2016-10-31,461,"ads"
2016-11-01,2016-11-30,589,"ads"
2016-12-01,2016-12-31,372,"ads"
2017-01-01,2017-01-31,394,"ads"
2017-02-01,2017-02-28,313,"ads"
2017-03-01,2017-03-31,407,"ads"
2017-04-01,2017-04-30,622,"ads"
2017-05-01,2017-05-31,431,"ads"
2017-06-01,2017-06-30,356,"ads"
2017-07-01,2017-07-31,456,"ads"
2017-08-01,2017-08-31,332,"ads"
2017-09-01,2017-09-30,397,"ads"
2017-10-01,2017-10-31,408,"ads"
2017-11-01,2017-11-30,385,"ads"
2017-12-01,2017-12-31,227,"ads"
2018-01-01,2018-01-31,336,"ads"
2018-02-01,2018-02-28,334,"ads"
2018-03-01,2018-03-31,2588,"ads"
2018-04-01,2018-04-30,1192,"ads"
2018-05-01,2018-05-31,531,"ads"
2018-06-01,2018-06-30,390,"ads"
2018-07-01,2018-07-31,440,"ads"
2018-08-01,2018-08-31,341,"ads"
2018-09-01,2018-09-30,764,"ads"
2018-10-01,2018-10-31,831,"ads"
2018-11-01,2018-11-30,698,"ads"
2018-12-01,2018-12-31,523,"ads"
2019-01-01,2019-01-31,697,"ads"
2019-02-01,2019-02-28,602,"ads"
2019-03-01,2019-03-31,779,"ads"
2019-04-01,2019-04-30,764,"ads"
2019-05-01,2019-05-31,1174,"ads"
2019-06-01,2019-06-30,572,"ads"
2019-07-01,2019-07-31,864,"ads"
2019-08-01,2019-08-31,705,"ads"
2019-09-01,2019-09-30,777,"ads"
2019-10-01,2019-10-31,864,"ads"
2019-11-01,2019-11-30,823,"ads"
2019-12-01,2019-12-31,926,"ads"
2020-01-01,2020-01-31,1317,"ads"
2020-02-01,2020-02-29,883,"ads"
2020-03-01,2020-03-31,785,"ads"
2020-04-01,2020-04-30,928,"ads"
2020-05-01,2020-05-07,156,"ads"
2015-01-01,2015-01-31,2855,"akima"
2015-02-01,2015-02-28,3209,"akima"
2015-03-01,2015-03-31,3506,"akima"
2015-04-01,2015-04-30,3857,"akima"
2015-05-01,2015-05-31,3499,"akima"
2015-06-01,2015-06-30,3601,"akima"
2015-07-01,2015-07-31,3073,"akima"
2015-08-01,2015-08-31,2974,"akima"
2015-09-01,2015-09-30,5895,"akima"
2015-10-01,2015-10-31,5421,"akima"
2015-11-01,2015-11-30,5040,"akima"
2015-12-01,2015-12-31,4015,"akima"
2016-01-01,2016-01-31,4439,"akima"
2016-02-01,2016-02-29,10397,"akima"
2016-03-01,2016-03-31,6402,"akima"
2016-04-01,2016-04-30,4553,"akima"
2016-05-01,2016-05-31,5091,"akima"
2016-06-01,2016-06-30,4598,"akima"
2016-07-01,2016-07-31,4001,"akima"
2016-08-01,2016-08-31,4071,"akima"
2016-09-01,2016-09-30,4876,"akima"
2016-10-01,2016-10-31,5380,"akima"
2016-11-01,2016-11-30,5706,"akima"
2016-12-01,2016-12-31,16578,"akima"
2017-01-01,2017-01-31,8034,"akima"
2017-02-01,2017-02-28,7976,"akima"
2017-03-01,2017-03-31,8399,"akima"
2017-04-01,2017-04-30,7857,"akima"
2017-05-01,2017-05-31,7297,"akima"
2017-06-01,2017-06-30,5897,"akima"
2017-07-01,2017-07-31,5916,"akima"
2017-08-01,2017-08-31,5510,"akima"
2017-09-01,2017-09-30,5912,"akima"
2017-10-01,2017-10-31,6888,"akima"
2017-11-01,2017-11-30,6998,"akima"
2017-12-01,2017-12-31,4928,"akima"
2018-01-01,2018-01-31,8279,"akima"
2018-02-01,2018-02-28,6461,"akima"
2018-03-01,2018-03-31,8365,"akima"
2018-04-01,2018-04-30,7039,"akima"
2018-05-01,2018-05-31,7600,"akima"
2018-06-01,2018-06-30,5978,"akima"
2018-07-01,2018-07-31,5420,"akima"
2018-08-01,2018-08-31,5099,"akima"
2018-09-01,2018-09-30,6898,"akima"
2018-10-01,2018-10-31,8028,"akima"
2018-11-01,2018-11-30,8747,"akima"
2018-12-01,2018-12-31,6344,"akima"
2019-01-01,2019-01-31,7645,"akima"
2019-02-01,2019-02-28,7428,"akima"
2019-03-01,2019-03-31,9518,"akima"
2019-04-01,2019-04-30,8460,"akima"
2019-05-01,2019-05-31,10788,"akima"
2019-06-01,2019-06-30,7622,"akima"
2019-07-01,2019-07-31,8545,"akima"
2019-08-01,2019-08-31,8298,"akima"
2019-09-01,2019-09-30,8819,"akima"
2019-10-01,2019-10-31,10242,"akima"
2019-11-01,2019-11-30,9305,"akima"
2019-12-01,2019-12-31,7909,"akima"
2020-01-01,2020-01-31,10366,"akima"
2020-02-01,2020-02-29,9542,"akima"
2020-03-01,2020-03-31,10205,"akima"
2020-04-01,2020-04-30,10304,"akima"
2020-05-01,2020-05-07,1834,"akima"
2015-01-01,2015-01-31,631,"AMOEBA"
2015-02-01,2015-02-28,514,"AMOEBA"
2015-03-01,2015-03-31,620,"AMOEBA"
2015-04-01,2015-04-30,751,"AMOEBA"
2015-05-01,2015-05-31,544,"AMOEBA"
2015-06-01,2015-06-30,509,"AMOEBA"
2015-07-01,2015-07-31,420,"AMOEBA"
2015-08-01,2015-08-31,468,"AMOEBA"
2015-09-01,2015-09-30,488,"AMOEBA"
2015-10-01,2015-10-31,558,"AMOEBA"
2015-11-01,2015-11-30,501,"AMOEBA"
2015-12-01,2015-12-31,445,"AMOEBA"
2016-01-01,2016-01-31,497,"AMOEBA"
2016-02-01,2016-02-29,472,"AMOEBA"
2016-03-01,2016-03-31,378,"AMOEBA"
2016-04-01,2016-04-30,367,"AMOEBA"
2016-05-01,2016-05-31,385,"AMOEBA"
2016-06-01,2016-06-30,360,"AMOEBA"
2016-07-01,2016-07-31,390,"AMOEBA"
2016-08-01,2016-08-31,702,"AMOEBA"
2016-09-01,2016-09-30,431,"AMOEBA"
2016-10-01,2016-10-31,417,"AMOEBA"
2016-11-01,2016-11-30,389,"AMOEBA"
2016-12-01,2016-12-31,307,"AMOEBA"
2017-01-01,2017-01-31,351,"AMOEBA"
2017-02-01,2017-02-28,265,"AMOEBA"
2017-03-01,2017-03-31,347,"AMOEBA"
2017-04-01,2017-04-30,570,"AMOEBA"
2017-05-01,2017-05-31,384,"AMOEBA"
2017-06-01,2017-06-30,314,"AMOEBA"
2017-07-01,2017-07-31,385,"AMOEBA"
2017-08-01,2017-08-31,298,"AMOEBA"
2017-09-01,2017-09-30,377,"AMOEBA"
2017-10-01,2017-10-31,356,"AMOEBA"
2017-11-01,2017-11-30,326,"AMOEBA"
2017-12-01,2017-12-31,227,"AMOEBA"
2018-01-01,2018-01-31,318,"AMOEBA"
2018-02-01,2018-02-28,365,"AMOEBA"
2018-03-01,2018-03-31,275,"AMOEBA"
2018-04-01,2018-04-30,428,"AMOEBA"
2018-05-01,2018-05-31,372,"AMOEBA"
2018-06-01,2018-06-30,947,"AMOEBA"
